SampleID	TimePoint	Group	Subject	STUB1	CEBPB	ENO2	PIAS4	IL10RA	STAT3	IRF1	JUN	MCL1	OAS1	MYC	SMAD3	SMAD2	IL12B IL23A	PDGFRA	IL12A IL12B	STAT1	STAT6	LRRK2	BGLAP	IL5	GPD1	IGHA1 IGHA2	CLC	N6AMT1	PDXK	TLR4	REG4	HSPB1	CHI3L1	ENO1	APOL1	CD38	CD59	FABP1	GDF11	BTC	HIF1A	S100A6	SECTM1	RSPO3	REG1A	BCL2L2	FIGF	SOST	FAM3D	CSH1 CSH2	EFNB1	SNAP25	LYPD3	NEGR1	BCL6	FSTL1	SPP1	LUM	CD177	CHKB	SMOC1	SERPINA10	FLRT2	FLRT3	ISLR2	VTN	DSC2	LDLR	HK2	HK1	SEMA5A	LTBP4	PIANP	ADM	S100A4	RNF43	TNFRSF10D	ZNRF3	C10orf54	EFNA2	APOM	IFNB1	IFNA10	IFNA7	EFNB2	HHLA2	IL1R2	AMIGO2	RXFP1	CD93	NRG4	HIST2H2BE	HIST3H2A	HIST1H3A	IFNG	IL36B	IL36A	ISG15	EFNA3	YWHAB	YWHAE	ANXA5	MSTN	C4A C4B	F11	CCL27	COL18A1	TIMP1	PLAT	PROK1	TIMP2	TGFB1	FLT4	C5	APOE	BDNF	C8A C8B C8G	CTSG	CXCL16	FGF10	FGF8	PLA2G2E	PLA2G5	CCL20	APCS	KIT	TIMP3	ANGPT4	CDH1	GFRA3	EFNB3	GFRA2	CCL21	HMGB1	TNFRSF11B	POMC	CFI	IGFBP3	CCL2	MMP9	MPO	PRL	VEGFA	TNFRSF9	TNFSF9	ANGPT2	CD80	TNFRSF8	CRLF1 CLCF1	CST3	TYRO3	EIF5	EFNA4	EFNA5	ERBB2	ERBB3	ERBB4	TACSTD2	IL6ST	HMOX2	Human-virus	Human-virus_1	HSP90AA1 HSP90AB1	IL1RAP	IL10RB	IL12RB1	IL13RA1	IL2RG	LAYN	LTBR	MRC1	CSF1R	MST1R	PAFAH1B2	CDH3	PRKCA	PRKCZ	GDI2	ICAM3	PLAUR	TNFRSF1A	NTRK3	TNFRSF17	DCN	CAPN1 CAPNS1	CKM	EGFR	HGF	HSPD1	C3
2264	Young	0	0	1702.9	851.7	27221.5	631.7	1046.6	2330.8	1480.1	1512	859.5	288.3	243.4	13191.6	15475.8	1950.9	989.7	143.7	13792.6	436.4	1692	933.3	197.1	3213.1	2951.7	506.3	3274.7	574.1	199.4	1026.6	6998.4	25552.9	48026	33419.8	533	860	3445.1	672.2	374	338.8	3299.1	1676.6	1070.4	223.7	439.1	322.2	4846.2	4017	3136.4	1583.9	1015.4	2161.6	2691.6	3886.2	20504.2	5652	1597.7	597.6	3164	2482.7	11580.2	10820.7	3573.1	5340.7	35027.1	2088.1	142.9	768.4	1301.5	5844.9	755.5	2903.8	2056.5	1807.4	1071.1	725.5	565.7	592.8	617.8	9484.9	458.7	215.8	161.7	8729.6	1121.1	15079.4	2157.4	244	9544.5	460.3	79459.2	2377.9	4623.6	480.7	401	519.7	1490.4	1563.2	34410.1	1113	587.7	5224.7	101.4	1319.9	966.5	44881	266.2	527.8	179.6	323.3	1680.2	7770.3	3547.7	30419.7	1394.6	2400.3	1593.2	5789.2	227.4	1127.5	318.4	303.1	6590.7	30922.2	9840.4	2238.7	372.3	58255.6	1381.4	1314.4	6362.8	5641	14567.7	9778.7	458	38170.6	944.9	548.8	7547.8	9807.7	1529.8	7682.5	350.6	270.8	109	488.6	1251.2	259.9	1312.8	511.4	1028.6	1037.6	2263.7	452.5	324.2	147.3	395.3	6277.2	540.2	695	1437	13291.4	19135.3	891.4	473	1539.5	2889.2	1284.6	3815.4	10478.1	163.1	484.7	4166.6	17016.8	41187.6	15849.9	18759.6	639.6	8329.9	590.1	5001.1	4875.3	4488.9	56792.3	831.2	20846.1	912.1	22115.4	5303
4178	Young	0	0	730.4	2366.8	37373.3	2441.7	1343.3	627.2	1453.3	5747.7	5349.7	8745.1	2091.2	6513.8	4825.2	3672.8	2312	1094.8	3160.1	585.1	1897.3	671.8	167.2	1838.2	2429	320.5	1181	331	216.1	1442.7	1468.1	7023.5	15415.6	30884.4	338.3	1062.9	4258.3	2143.4	8966.5	1241.3	1611.6	2419.3	1489.3	296.9	2521.4	1055	18675.9	4311.9	1537.8	2421.2	4750.7	16886.9	4113.5	7318.8	24982.4	9923.9	2094.3	1506.8	2382	5437.6	6556.6	19091.4	10420.1	10734.9	22087.7	2790	1262	1088.7	13336.2	7755.7	1207.7	7180	1820.4	2460	2617.1	6085.6	1604.2	840	1603.7	12242.3	1357	1073.1	5713.8	19280.7	1641.9	11166.1	3955.8	845.8	17900.2	17418.4	20961.5	970.5	1562.7	1044.8	4874.9	2271.7	2498.7	7949.5	7140.4	7231.5	1317.7	3886.6	309.7	1313.2	783.4	57066.5	190	488.5	137.3	278.2	1301.7	7141.4	4505.3	6489.2	280	2129.9	682.7	7704.8	176	464.2	216.7	173.5	281.7	38618.2	10064.2	563	204	62476.9	478.9	495.1	4526	7433.6	2685	10105.7	1647.9	39967.6	1542.6	2617.2	7891.4	13019	1759.6	7851.2	274.7	275.1	108.5	406.8	702.7	252.8	1469	598.1	737.9	1486.3	3704.3	703.4	290.7	147.4	170.6	5799.9	330.6	355.6	1268.7	3956	21381.3	792.1	371.8	1517.7	815.4	906.5	4097.3	9025	101.3	394.9	1912.3	16342.7	6811.2	1110.7	7313.4	360.6	7073.5	747.3	4579.9	5127.4	3429.4	17049.7	699.1	23681.9	837.2	6756	6295.7
3033	Old	0	0	1742.8	1754.6	25445.3	734.9	1269.9	2703.5	1277.5	1621	696.6	301.1	264.9	13227.8	18254.8	1240	1054.4	204.5	11454.5	356.4	2009	6144.1	177.4	1754.2	2571.6	367.8	3160.7	529.6	210	1918.2	8602.4	10930.5	40485.5	33431.6	382.4	910.3	2656.8	1221.9	305.9	288	2528.3	1922.7	1215.1	250.4	533.2	382.8	9308.3	5032.6	3054.2	1655.2	1437.6	1095.5	4109.2	6209.8	25152.4	6944.8	2276.7	7046.4	2185.1	2680.3	4074.4	12029.9	3845.6	5854.9	39518.2	2397.3	106.3	498.6	1331.6	10870.4	787.4	2554.2	2174.1	1942.1	1084.6	706.5	632	751.3	767.6	8136.7	395.7	250	159.2	14847.4	1219.5	9911	2233.2	252	13933.9	623.9	19348.7	641.7	2391.9	692	358.3	813.9	1544.3	1630.8	31285.5	1400	606.8	6831	289.2	1433	742.3	49541.4	205.9	453.9	147.2	343.5	1476.2	7793.9	4263.1	18494	1205.5	2516.5	940.8	7291.5	248.8	564.6	243.6	264.3	331.5	39208.6	11581.7	2086.2	345.6	50677.3	753.4	725.5	5257.5	5410	5906.4	10541.7	565.1	40956.6	1238.6	537.3	16261.1	6411.9	1593.7	9637.4	291.5	262.7	91.9	472.9	845.9	331.2	1406.6	552.2	1239.5	1433.9	3323.2	295.9	289.3	145.9	280.1	6661.4	411.5	500	1356.4	11368.6	21460.7	846.7	425.9	1729.5	3129.8	1006.2	4117.2	10936.9	129.5	438.6	4630.3	19551.7	44724	892.7	16056	472.9	9851.4	821.1	6430.9	4057	4220.3	53994.7	657.3	23384.7	1222.3	16865.9	5135.6
4158	Old	0	0	1002.9	688.6	18224.1	558.4	1008.2	770.3	1254.4	1331	1096.1	230.1	288.7	7246.1	4962.2	2207.4	2380	175.4	3785.4	284.3	1873.9	811.3	229.1	1198	3195.7	391.1	1642.9	398.2	311.2	2036.6	2196.8	24353.3	19821.1	43132.9	379.5	1143.9	3948.3	645.8	292.6	315.9	1974.2	1747.7	1513.9	299.1	1521.5	490.6	14798.7	6537.9	1879.8	1645.1	1163.6	1054.1	4104.1	4421.4	26311.5	10014	1896.7	863.6	2226.1	3630.8	6565	19672.6	4249.1	5094.6	21610	3518.9	120.8	466.7	1113.1	5370.8	1036.9	4602.9	1752.6	1631.5	1259.2	1089.2	911.3	630.9	907.2	12189.4	738.4	306.3	233.3	15932	1093.2	8256.3	2084.6	243.2	13742.1	1316.9	18377	432.6	1710.8	613.5	454.5	1739.3	1095.1	1977.6	12523.2	1360.3	806.7	6755.6	130.4	1041.5	926.5	67606.1	236.6	700.1	150.1	306.4	997.6	5597.7	3444.9	27467.1	488.2	2098.1	801.9	8904.6	212.2	545.3	246.8	224.4	337.7	35724.6	9865.5	741.8	256	69010.8	505	571.6	4510.2	6309.3	3423.8	9808.1	759.9	33022	1220.5	762.1	12720.1	16150.4	1676.9	21261.1	317.3	294	107.3	464.9	821.8	316.5	2282.2	510.7	901.3	1535	3679.1	290.7	265.9	169.9	225.5	5594.3	320	474.6	1250.2	5006.4	18022.7	853.8	376.1	1708.2	1202.7	1170.2	3883.7	11285.6	109.5	423.2	3165.1	15064	14119.9	510	9187	399.4	10311.5	996.6	6060.2	6939.7	4014.6	22942.1	507.2	20726.2	1064.6	10952.3	4371.8
4016	Old	0	0	1617.3	784.2	22959.5	660.1	1112.6	2351.4	1382.8	1280.4	1294.3	271.7	267	11756	14160.4	2149	1006.2	198.1	7639.3	433.2	1699.7	988.8	191.8	2131.9	5239.9	400.9	2701	478.6	250.2	1295	8966.5	19907.4	40331.9	28065.9	382.3	848.5	6456.6	633.8	377.2	321.6	2133.3	1604	1589.6	232	483.4	424.2	5941.7	12254.5	2494.1	1607.5	1080.9	1025.6	3530.5	3125.7	19926.2	6386	1700.1	174.1	2402.6	2816.3	9220.8	14919.3	2946.5	3992.8	35510.3	2568.2	118.6	395.6	1225.5	5734.6	777.5	4560	1784.3	1881.8	995.7	757.6	306.8	597.9	787.8	7954.7	409.6	474.6	171.7	10758.8	1521.7	9428.7	1974.6	238.4	11559.1	493.6	23956.9	626.5	1876.1	526.7	361.5	2215.8	2190.9	1568.7	23205.8	1332.6	1443.4	3840.6	264.7	1267.9	816.6	73642.6	247.4	465.9	165.5	304.4	1330.4	4095	4314.8	19500.2	801.3	2088.1	879	7703.1	231.9	649.3	261.5	273.9	399.7	27592.1	6827.2	1099.7	363	81128.7	652.2	705.1	6062.6	9184.5	5652.9	9828.7	592.2	45731.6	840	476	4026.1	15187.3	1261.1	11133.9	325.7	290.5	98	511.8	822.9	284.6	1676.8	517.2	1343.7	1183	3095.9	257.7	374	173.2	238.9	4939	428.1	341.5	1256.5	12187.3	17191.7	1548.9	458.5	1410.8	2455.5	1000.7	3785.5	12278.8	136.5	482.9	3920.5	16020.5	41617.8	1131	16698.2	533.3	7731.3	827.1	4744.2	5821.1	3526.1	56083.4	708.9	28066.2	922.1	26161.8	5532
1029	Young	0	0	4288.5	968.7	60924.6	539.8	1222.3	3565.2	1836.5	1358.8	718.4	321.5	339.2	20514.7	26713.7	967.1	1626.3	307.5	18830.4	650.1	1966	898.6	129.7	1786.6	3529.9	324.2	4961.3	598.7	179.1	1313.8	13610.4	7682.7	81302.7	33321.7	361	920.9	3121	720.8	516.1	334.7	3098.2	1085.8	1481.2	287.1	641.1	395	5404	2107.3	4696.7	2165.8	910	1713.1	3744.6	8252.6	27729	6577	1850.8	712.4	1370.6	2237.8	9384.2	13301.6	2994.3	5037	35885.3	1896.5	80.3	394.9	1261.1	4138.1	827.9	2678.2	2633.9	2253.2	1860.3	727.5	746.5	706.5	532.8	13783.3	34870.7	338.3	231.5	11715.1	1169.3	13796.5	2273	300.9	13031.3	474.9	24634.2	531.1	1803.3	659.4	500.4	551.7	2226.6	1676	73227	1960.6	705.8	4458.5	156	1354.7	787.5	41455.9	228	211	123.6	384.8	1704.2	7537.5	3428.2	11345.3	962.7	1485.1	750	6417.4	233.3	436.1	199.3	291.1	304.2	15463.6	9839.1	2680.7	489	49276.5	608.5	729.6	5192.9	6845.1	3772.6	9057.2	461.8	33009.4	1621.5	516.2	3926.7	8833.6	1546.4	7025	249.8	239.5	123.5	413.4	535.9	235.4	1090.2	540.3	1621.6	936.8	2383.6	253.1	250.4	130.9	236.5	6250.9	475.8	305.3	959.6	17330.2	32360.5	677.4	318.2	1592.8	3684.9	736.2	3079.2	8192.2	129.7	342	7786.9	12475.6	77767.8	996.8	27320.3	402.1	7473.4	509.2	7162	4748.4	4482.6	93512.5	564.1	22329.7	725.6	67874	4161.4
3104	Young	0	0	3607.1	668.9	31239.4	594.9	1067	2859.9	1663	1501	580.8	259.3	314	19413	22906	1152.1	1396.2	224.5	17837	619.6	1823.3	1378.2	1597	1214.5	3252.9	764.2	4234.2	792.5	706.9	1026.9	8530.5	4706.2	64705.2	27162.7	382.4	871.8	3590.7	1531.4	851.4	1214.2	3463.2	1446	1498.1	232.7	886.4	373.7	5779.8	7957.5	130604.6	1802.4	1293.3	2015.1	3374.8	5703.6	25890.5	4844.5	1605.8	828.9	2402.6	2275.1	9512	13954	3868.5	5879.3	35571.9	1939.6	316	591.5	1696	5268.9	902.7	2498.7	1818.9	1877.6	917.9	513.4	323.8	801.7	617.7	13831.6	401	474.4	150.7	10040.7	1252.8	9869.7	2202	217.4	10889.1	477.4	12639.4	400.6	2034.6	603.5	349.2	1359.1	6979.1	1365.8	54257.3	1732.8	1348.2	4058.7	239	1037.5	881.5	41062.8	193.7	239.6	121.3	350.4	1436.3	4083.5	3462.8	15191.2	953.7	1906.7	774.2	4668.7	236.4	502.1	212.9	265.9	343.9	22980.6	10816	3707	373	53127.5	754.6	658.3	5259.9	4685.7	5099.1	10026.6	1742.4	32358.2	1644.8	556.8	7953.3	15201.5	1877.6	7339.5	255.2	318	99.7	494.5	620	270.7	1000.1	524.6	1537.4	909	2760.4	499.7	317	132.3	259.1	5174.8	405.1	389.2	1195.2	17189.4	20882.6	751.6	370.8	1579.3	4183.7	813.2	3541	7877.9	154.7	377.7	8117.6	14968.1	67171.2	844.1	24897	412.3	6990.5	502	6662.1	3899.1	4735.9	77792.8	572.2	22138.1	862.1	36271.8	3664.3
2196	Old	0	0	2744.7	761.8	27534	628.5	992.4	3110	1520.2	1198.8	802.3	335.5	440	14025.6	21142.9	1209.5	1017	168.8	9548	511.8	1530.6	688.2	165.4	653.5	4216.7	306.5	4399.3	478.6	930.7	2325.6	7668.9	13356.9	61886.6	34514.7	326.6	724.5	4199.6	624.9	507.8	337.2	3214.1	1360.4	1479.3	220.4	549.7	502	7152.7	8605.4	3824.3	1997.7	898.8	1154.8	3906.7	4223.9	21185.2	7358.2	2741.7	315.7	1808.7	2279.8	9675.2	18381	4433.4	5092.5	33562.1	2499.8	187.9	757.3	1446	4170.7	753.6	4616.7	2178	2245	1061.3	665.9	391.9	857.8	649.2	8690.4	527.7	278.2	279.5	13042.2	2836.4	7242.6	2123.8	288.5	13707.1	581.6	15738.1	449.9	2412.9	615.2	508.1	895.1	2823.7	1604.4	54323.2	1375	742.7	3318.4	168.1	1599	640.2	60173	225	223.1	135.4	292.9	1504.4	8005	4546.8	15759.9	1258.6	1942.5	817.7	9087.6	229.1	556.1	254.2	269.7	321.9	34470.1	9658.6	1088.1	313.9	56486.7	636.9	731.1	4024	7948.2	5320.2	9161.3	339.1	42774.8	857.8	660.6	5403.8	12922.4	1251	9256.5	286.7	300.3	88.5	448.1	836.7	511.2	1480.4	559	1465.6	1063.8	2676	279.2	336.9	143.6	261.9	5277.7	408.2	265.9	1152.9	19371.1	19638.4	788.7	462.5	1273.8	3892.8	976.6	3725.2	12298.3	128.3	401.3	5175.3	15187	61075.6	947.8	23063.7	428	9115.1	707.1	5481.3	6816.6	3386	70843.5	748.6	21737.9	780.6	31920.7	4577.9
1133	Young	0	0	3380.6	706.3	28724.9	671	1061.5	5395.4	2053.4	1403.6	758.7	757.1	301.1	21713.8	33918.9	1031.2	974.7	356.8	18254	709.9	1881.7	1821.9	256.3	1435.3	3354.6	335.3	6266.6	503.7	174.6	1250.1	6979.1	4026.5	81529.5	32499	349	843.2	2573.6	514.7	358.7	303.9	3781.3	1620.3	1277	298.6	633.1	480.4	5565.8	14454.2	5349	2170	46651.7	955.5	3336.8	4730.2	23462.7	10530	2004.5	422.3	2667.1	2354.7	7555.3	10709.3	4829.8	4711.2	35074.2	1774.8	85.3	462.8	1084.1	5794.1	603.2	2826.2	2197.9	2258.1	1122.3	545.5	286.8	961	565.3	13909.4	349.8	244.3	192.3	9297.5	4583	7515.5	1919.6	476.6	12989.7	429.4	11794.2	501.2	1633.4	460.6	321.5	2946.5	3473.6	1150.5	73829	1336.8	834.6	3822.5	957.3	1131.5	919.1	45059.4	235.5	263.1	148.7	293	1575.1	3784.1	3177.6	8667.9	1797.4	1604.2	861.5	6199	244.5	585.1	217.2	323.6	304.3	24717.8	11516.9	2970.4	452	46806	628.7	834.7	4578.6	6112.9	5301.9	8009.4	651.9	34297.5	1228.4	612.8	7656.2	10842	1720.3	7529	263.5	217.4	97.4	438.2	599	254.9	1631.4	445.5	2004.2	993	2319.5	274.7	287.2	125.2	294.3	5569.5	528.1	308.3	1066.4	24094.3	24629.2	754	348.7	1095.4	4554.4	923.5	3078.1	6596.4	135.8	368.7	8012.4	14941.2	68443.8	1050.7	27168.6	495.6	6677.1	572.2	4571.7	3758.2	4000.2	85460.6	433.9	18286.1	64011.8	34181	5414.6
1050	Old	0	0	3566.8	766.1	36439.8	1508.4	813.1	2883.7	1351.7	1502.4	726	321.6	304.5	18011.8	21811.2	1689.7	1501.9	183.3	11223.4	509.9	1398.4	961.6	151.8	2032.8	3701.9	371	3577.1	606.7	652	1135.1	6709.5	4097.2	51403.8	22617.9	348.3	1147	5046.6	558.7	404.4	338.8	2343.5	2220.2	1273.2	287.5	550.7	343.7	8628.4	17850.4	4499.7	1926.8	2674.6	1373.5	3794	7565.1	25178.2	6400	2026.1	867.3	2642.5	2392.2	5788.1	20163.1	4145.3	6606.6	13757.1	2466.5	91.6	410.8	1453.2	6655.7	1018.9	2603.9	1961.7	1992	1073.4	997.7	1026.8	612.2	933.3	5219.9	404.4	441.2	150.4	15492	1513.7	9003.9	2742	205.8	13853	509.5	16241.1	452.4	2032.9	687.5	391.7	1041.7	1952.7	2080.4	42339.7	1707.5	923.4	6769.4	186.8	747.1	750.2	49279.9	298.1	575.2	124.9	385.6	1377.6	5387.8	3308.5	26887.1	946.2	2009.1	759.7	5992.9	246.9	533.7	195.2	250.9	302.5	28630.2	15935.4	1286.5	374.3	55879.7	573.8	656.6	5762.5	6929.9	4041.1	8761	389.3	34732.9	368.2	475.8	10701.8	18141.7	1285.5	9474.3	297.3	220.8	91.7	456	740.4	249.9	1857.9	612.4	1620	1295	3824	234.5	234.3	125	231.3	6573.1	413.4	439.4	1150.7	12529.3	16352.2	768.3	343.1	1386.7	3862.3	963.2	3506.1	11694.8	159.3	339.1	5736.6	12751	64910.4	828	17375.6	412.5	9688.9	846.7	5965.1	4624.8	4625.6	63108.4	597.4	20238.3	1064.7	40918.8	4854.1
